root@ubuntu-s-1vcpu-1gb-nyc1-01:~# tcpdump host www.google.com -a

10:06:52.192177 IP laptop.43623 > del03s14-in-f4.1e100.net.443: UDP, length 1350
10:06:52.248403 IP del03s14-in-f4.1e100.net.443 > laptop.43623: UDP, length 36
10:06:52.289983 IP laptop.41812 > del03s14-in-f4.1e100.net.https: Flags [S], seq 2134581189, win 64240, options [mss 1460,sackOK,TS val 332749028 ecr 0,nop,wscale 7], length 0
10:06:52.292514 IP del03s14-in-f4.1e100.net.443 > laptop.43623: UDP, length 1350
10:06:52.292701 IP del03s14-in-f4.1e100.net.443 > laptop.43623: UDP, length 1350
10:06:52.293929 IP laptop.43623 > del03s14-in-f4.1e100.net.443: UDP, length 36
10:06:52.297740 IP laptop.43623 > del03s14-in-f4.1e100.net.443: UDP, length 1350
10:06:52.298879 IP laptop.43623 > del03s14-in-f4.1e100.net.443: UDP, length 1350
10:06:52.298987 IP laptop.43623 > del03s14-in-f4.1e100.net.443: UDP, length 144
10:06:52.321008 IP del03s14-in-f4.1e100.net.https > laptop.41812: Flags [S.], seq 3120913548, ack 2134581190, win 60192, options [mss 1380,sackOK,TS val 2813570311 ecr 332749028,nop,wscale 8], length 0
10:06:52.321116 IP laptop.41812 > del03s14-in-f4.1e100.net.https: Flags [.], ack 1, win 502, options [nop,nop,TS val 332749059 ecr 2813570311], length 0
10:06:52.321479 IP laptop.41812 > del03s14-in-f4.1e100.net.https: Flags [P.], seq 1:518, ack 1, win 502, options [nop,nop,TS val 332749060 ecr 2813570311], length 517
10:06:52.352107 IP del03s14-in-f4.1e100.net.https > laptop.41812: Flags [.], ack 518, win 240, options [nop,nop,TS val 2813570342 ecr 332749060], length 0
10:06:52.352518 IP del03s14-in-f4.1e100.net.443 > laptop.43623: UDP, length 36
10:06:52.368833 IP laptop.43623 > del03s14-in-f4.1e100.net.443: UDP, length 47
10:06:52.370088 IP laptop.43623 > del03s14-in-f4.1e100.net.443: UDP, length 206
10:06:52.399709 IP del03s14-in-f4.1e100.net.443 > laptop.43623: UDP, length 1350
10:06:52.399948 IP del03s14-in-f4.1e100.net.443 > laptop.43623: UDP, length 37
10:06:52.400330 IP laptop.43623 > del03s14-in-f4.1e100.net.443: UDP, length 28
10:06:52.421823 IP del03s14-in-f4.1e100.net.https > laptop.41812: Flags [.], seq 1:1419, ack 518, win 240, options [nop,nop,TS val 2813570411 ecr 332749060], length 1418
10:06:52.421903 IP laptop.41812 > del03s14-in-f4.1e100.net.https: Flags [.], ack 1419, win 501, options [nop,nop,TS val 332749160 ecr 2813570411], length 0
10:06:52.421978 IP del03s14-in-f4.1e100.net.https > laptop.41812: Flags [P.], seq 1419:2627, ack 518, win 240, options [nop,nop,TS val 2813570411 ecr 332749060], length 1208
10:06:52.422001 IP laptop.41812 > del03s14-in-f4.1e100.net.https: Flags [.], ack 2627, win 492, options [nop,nop,TS val 332749160 ecr 2813570411], length 0
10:06:52.427865 IP del03s14-in-f4.1e100.net.443 > laptop.43623: UDP, length 20
10:06:52.428029 IP laptop.41812 > del03s14-in-f4.1e100.net.https: Flags [P.], seq 518:582, ack 2627, win 501, options [nop,nop,TS val 332749166 ecr 2813570411], length 64
10:06:52.428367 IP laptop.43623 > del03s14-in-f4.1e100.net.443: UDP, length 28
10:06:52.458847 IP del03s14-in-f4.1e100.net.https > laptop.41812: Flags [.], ack 582, win 240, options [nop,nop,TS val 2813570449 ecr 332749166], length 0
10:06:52.519659 IP del03s14-in-f4.1e100.net.443 > laptop.43623: UDP, length 906
10:06:52.553709 IP laptop.43623 > del03s14-in-f4.1e100.net.443: UDP, length 28
10:06:52.601578 IP laptop.43623 > del03s14-in-f4.1e100.net.443: UDP, length 39
10:06:52.603069 IP laptop.43623 > del03s14-in-f4.1e100.net.443: UDP, length 199
10:06:52.605858 IP del03s14-in-f4.1e100.net.443 > laptop.43623: UDP, length 19
10:06:52.606070 IP del03s14-in-f4.1e100.net.443 > laptop.43623: UDP, length 76
10:06:52.606297 IP laptop.43623 > del03s14-in-f4.1e100.net.443: UDP, length 28
10:06:52.634131 IP del03s14-in-f4.1e100.net.443 > laptop.43623: UDP, length 20
10:06:52.753169 IP laptop.43623 > del03s14-in-f4.1e100.net.443: UDP, length 39
10:06:52.754325 IP laptop.43623 > del03s14-in-f4.1e100.net.443: UDP, length 201
10:06:52.758449 IP del03s14-in-f4.1e100.net.443 > laptop.43623: UDP, length 625
10:06:52.759764 IP del03s14-in-f4.1e100.net.443 > laptop.43623: UDP, length 19
10:06:52.759822 IP del03s14-in-f4.1e100.net.443 > laptop.43623: UDP, length 214
10:06:52.759921 IP laptop.43623 > del03s14-in-f4.1e100.net.443: UDP, length 28
10:06:52.785174 IP del03s14-in-f4.1e100.net.443 > laptop.43623: UDP, length 20
10:06:52.785442 IP laptop.43623 > del03s14-in-f4.1e100.net.443: UDP, length 28
10:06:52.882214 IP del03s14-in-f4.1e100.net.443 > laptop.43623: UDP, length 637
10:06:52.883196 IP del03s14-in-f4.1e100.net.443 > laptop.43623: UDP, length 19
10:06:52.883288 IP del03s14-in-f4.1e100.net.443 > laptop.43623: UDP, length 263
10:06:52.884820 IP laptop.43623 > del03s14-in-f4.1e100.net.443: UDP, length 28
10:06:52.910459 IP laptop.43623 > del03s14-in-f4.1e100.net.443: UDP, length 28
10:06:53.956167 IP laptop.43623 > del03s14-in-f4.1e100.net.443: UDP, length 202
